date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:17	219/219	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2263f3ce77-154%22	https://www.classcentral.com/robots.txt		(from )
12:35:19	664649/664649	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2021%20Feb%202023%2010:35:17%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/index.html	(from )
12:35:19	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/class%20central%203/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
12:35:19	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
12:35:20	975/975	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
12:35:20	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
12:35:20	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263f3ce77-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
12:35:20	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f3cedd-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
12:35:21	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263f3ce77-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
12:35:21	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:35:21	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
12:35:21	988/988	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
12:35:21	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
12:35:22	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
12:35:22	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
12:35:22	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:35:22	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
12:35:22	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
